University,Country,Latitude,Longitude
Université PSL,France,48.854654,2.3378386
Technical University of Munich,Germany,48.265506,11.6693359
Lund University,Sweden,55.7126504,13.2107587
Delft University of Technology,Netherlands,51.9988273,4.3739604
University of Amsterdam,Netherlands,52.3681334,4.8898042
Ruprecht-Karls-Universität Heidelberg,Germany,49.4186002,8.6692402
Ludwig-Maximilians-Universität München,Germany,48.1504757,11.5798356
Institut Polytechnique de Paris,France,48.7139028,2.2141074
Uppsala University,Sweden,59.8617859,17.6376705
"Trinity College Dublin, The University of Dublin",Ireland,53.33306,-6.24889
KTH Royal Institute of Technology ,Sweden,59.2016758,17.6203201
KU Leuven,Belgium,50.8057128,3.2915374
Université Paris-Saclay,France,48.7123933,2.172585
Sorbonne University,France,48.8468997,2.3574487
University of Copenhagen,Denmark,55.6801502,12.572327
Politecnico di Milano,Italy,45.0468832,9.7030881
Utrecht University,Netherlands,52.0870179,5.1801005
Aalto University,Finland,60.1860789,24.8281018
University of Vienna,Austria,48.2131469,16.35997
Freie Universitaet Berlin,Germany,52.4528564,13.2907249
Stockholm University,Sweden,59.366141,18.059593
Technische Universität Berlin (TU Berlin),Germany,52.5110158,13.3269541
University of Helsinki,Finland,60.226722,25.01767
Ghent University,Belgium,51.0078484,3.7108831
Alma Mater Studiorum - University of Bologna,Italy,44.4982886,11.354457
University College Dublin,Ireland,53.3068763,-6.2246251
Leiden University,Netherlands,52.1686355,4.4597028
Aarhus University,Denmark,56.1670905,10.2026177
Universitat de Barcelona,Spain,41.3868595,2.1634784
University of Groningen,Netherlands,53.2194415,6.5629863
Wageningen University & Research,Netherlands,51.985445,5.663212
RWTH Aachen University,Germany,50.7791657,6.0689209
"KIT, Karlsruhe Institute of Technology",Germany,49.00944,8.41167
Complutense University of Madrid,Spain,40.42526,-3.69063
Erasmus University Rotterdam ,Netherlands,51.9229232,4.4876249
Sapienza University of Rome,Italy,41.89193,12.51133
Universitat Autònoma de Barcelona,Spain,41.5015527,2.1062607
Humboldt-Universität zu Berlin,Germany,52.5183402,13.3929202
Technical University of Denmark,Denmark,55.7854145,12.5202151
University of Gothenburg,Sweden,57.6985465,11.9712422
Universidad Autónoma de Madrid,Spain,40.5453765,-3.6949578
Université catholique de Louvain (UCLouvain),Belgium,50.8214382,4.3499855
Albert-Ludwigs-Universitaet Freiburg,Germany,48.0022957,7.8491401
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,50.7338124,7.1022465
Chalmers University of Technology,Sweden,57.6897462,11.9765259
Charles University,Czech Republic,49.75,15
Universität Hamburg,Germany,53.568196,9.9844102
University of Göttingen,Germany,51.53443,9.93228
Vrije Universiteit Amsterdam,Netherlands,52.3340539,4.8651882
Eberhard Karls Universität Tübingen,Germany,48.52266,9.05222
Università di Padova,Italy,46.7197799,11.6516759
Eindhoven University of Technology,Netherlands,51.4486602,5.4903996
Maastricht University ,Netherlands,50.8472026,5.6859414
University of Navarra,Spain,42.8233,-1.65138
University of Lisbon ,Portugal,38.7525379,-9.1568456
Technische Universität Dresden,Germany,51.0282765,13.7359828
Universite libre de Bruxelles,Belgium,50.8200253,4.3975097
University of Warsaw ,Poland,52.2216394,21.0073798
Goethe-University Frankfurt am Main,Germany,50.11552,8.68417
University of Galway,Ireland,53.2936337,-9.0750599
University of Cologne,Germany,50.9280445,6.9281305
Universitat Pompeu Fabra (Barcelona),Spain,41.3892781,2.1911055
Politecnico di Torino,Italy,45.0636974,7.6575263
Université Paris 1 Panthéon-Sorbonne ,France,48.8473976,2.3455085
University College Cork,Ireland,51.8947384,-8.4903073
Linköping University,Sweden,58.3977911,15.5754544
Technische Universität Wien,Austria,48.1989256,16.3698784
University of Antwerp,Belgium,51.1843856,4.4199387
University of Porto,Portugal,41.1784933,-8.5961974
University of Milan,Italy,45.4798585,9.2282438
Vrije Universiteit Brussel (VUB),Belgium,50.8225529,4.3954915
Westfälische Wilhelms-Universität Münster ,Germany,51.9673422,7.5992433
Universidad Politécnica de Madrid (UPM),Spain,40.40225,-3.71029
University of Twente,Netherlands,52.2493304,6.8511958
Universidad Carlos III de Madrid (UC3M),Spain,40.40225,-3.71029
Jagiellonian University,Poland,50.0606586,19.9304539
Radboud University ,Netherlands,51.8215172,5.8634209
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,49.4583219,11.08546
Université Grenoble Alpes,France,44.9341217,4.9030427
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,40,-4
University of Southern Denmark (SDU),Denmark,55.3678532,10.4280534
Aalborg University,Denmark,57.015907,9.9753082
Ecole des Ponts ParisTech,France,48.8411038,2.5882732
Universidade Nova de Lisboa,Portugal,38.7328407,-9.1602002
Technical University of Darmstadt,Germany,49.87167,8.65027
University of Turku,Finland,60.4560731,22.2864097
Universitat de Valencia,Spain,39.4604817,-0.3600927
University of Pisa,Italy,43.70853,10.4036
University of Coimbra,Portugal,40.2072715,-8.4255047
University of Turin,Italy,45.0691151,7.6898971
Università Cattolica del Sacro Cuore,Italy,45.4618543,9.1770563
University of Tartu,Estonia,58.381014,26.7195598
École Normale Supérieure de Lyon,France,45.7297811,4.8265819
Masaryk University,Czech Republic,49.198657,16.6056272
Universität Innsbruck,Austria,47.2633159,11.3844733
University of Limerick,Ireland,52.6732581,-8.5698097
Universidad de Sevilla,Spain,37.3807317,-5.990265
University of Florence,Italy,43.77925,11.24626
National and Kapodistrian University of Athens,Greece,37.97945,23.71622
Universität Stuttgart,Germany,48.7453828,9.1032675
